white;black;event;year;heatmap
Reshevsky, Samuel Herman;Fischer, Robert James;1961;0.45,0.01,0.09,0.6,0.25,0.53,1.0,0.11,0.11,0.13,0.07,0.43,0.17,0.26,0.2,0.46,0.03,-0.15,0.19,0.07,0.08,0.11,0.04,0.09,0.01,-0.04,0.2,-0.01,-0.04,0.15,-0.03,0.0,0.0,0.18,0.0,0.06,-0.32,-0.03,-0.03,0.0,0.02,0.11,0.08,-0.12,0.0,-0.09,-0.23,-0.55,-0.13,-0.08,-0.11,-0.21,-0.07,-0.2,-0.58,-0.09,-0.48,-0.0,-0.19,-0.75,-0.32,-0.26,-0.95,-0.1
Fischer, Robert James;Hurttlen, N.;1956;0.64,0.38,0.28,1.0,0.67,0.11,0.81,0.2,0.13,0.13,0.07,0.08,0.01,0.13,0.13,0.13,0.0,0.0,0.05,0.0,0.03,0.19,0.0,0.0,0.08,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.03,-0.05,0.0,0.06,-0.01,0.08,0.0,-0.1,0.0,-0.2,-0.03,0.0,-0.24,0.0,0.0,-0.03,-0.13,-0.13,-0.06,-0.1,-0.13,-0.13,-0.13,-0.64,-0.03,-0.37,-0.95,-0.72,-0.26,-0.78,-0.26
Ruth, D.;Fischer, Robert James;1956;0.86,0.18,0.56,0.86,0.75,0.41,1.0,0.29,0.08,0.19,0.15,0.2,0.42,0.19,0.19,0.07,0.0,0.07,0.16,0.0,0.0,0.28,0.0,0.12,0.11,0.17,0.0,0.03,0.24,0.0,0.0,0.0,0.0,-0.01,-0.08,0.09,-0.08,0.0,0.0,0.0,-0.15,0.0,0.0,-0.21,0.0,-0.18,0.0,0.0,-0.04,-0.18,-0.8,-0.13,-0.32,-0.19,-0.19,-0.19,-0.68,-0.21,-0.46,-0.9,-0.55,-0.85,-0.99,-0.31
Fischer, Robert James;Udovcic, Mijo;1961;0.48,0.01,0.12,0.39,0.46,0.21,1.0,0.1,0.08,0.1,0.07,0.03,0.1,0.04,0.13,0.1,0.0,0.12,0.22,0.26,0.22,0.14,-0.02,0.0,-0.02,0.01,-0.1,0.04,0.02,0.07,-0.13,0.0,-0.3,-0.02,0.0,0.03,-0.12,-0.04,0.02,0.0,-0.14,-0.05,-0.04,-0.13,0.1,-0.13,-0.06,0.0,0.06,-0.07,-0.02,-0.1,-0.06,-0.04,-0.23,-0.58,-0.26,-0.2,-0.33,-0.26,-0.21,-0.56,-0.39,-0.08
Fischer, Robert James;Matanovic, Aleksandar;1961;0.26,0.1,0.29,0.65,0.47,0.25,0.75,0.01,0.11,0.04,0.2,0.25,0.09,0.16,0.07,0.02,0.0,0.03,0.22,0.03,0.03,0.12,0.04,-0.04,0.19,-0.0,0.11,0.05,0.06,-0.01,-0.02,0.0,-0.06,-0.03,-0.11,0.0,-0.1,0.02,-0.04,-0.14,0.0,0.0,-0.06,-0.1,0.0,-0.19,-0.1,0.0,-0.03,-0.02,-0.31,-0.18,-0.09,-0.14,-0.04,-0.15,-0.32,-0.03,-0.15,-0.28,-0.58,-0.3,-1.0,-0.09
Fischer, Robert James;Cardoso, Radolfo Tan;1957;0.5,0.1,0.19,0.98,0.43,0.46,0.97,0.24,0.29,0.16,0.22,0.02,0.05,0.81,0.23,0.17,0.06,0.16,0.47,0.0,0.56,0.14,0.01,0.01,-0.05,0.0,-0.04,0.4,0.24,0.01,0.0,0.02,-0.05,-0.22,-0.05,0.0,-0.26,0.01,0.14,0.0,-0.2,0.0,-0.42,-0.03,-0.57,-0.59,0.0,-0.09,-0.04,-0.39,-0.01,-0.33,0.09,-0.07,-0.2,-0.21,-0.56,-0.2,-0.69,-0.87,-1.0,-0.47,-0.13,-0.44
Hearst, Eliot Sanford;Fischer, Robert James;1957;0.47,0.06,0.12,0.76,0.36,0.53,0.23,1.0,0.04,0.07,0.08,0.21,0.31,0.33,0.16,0.16,0.05,0.0,0.25,0.14,0.14,0.04,0.0,-0.01,0.0,0.03,0.13,0.04,0.28,-0.18,0.01,-0.15,0.25,-0.06,0.09,0.11,0.12,0.04,-0.16,-0.12,-0.07,0.0,0.0,-0.09,0.0,-0.19,-0.25,-0.15,-0.02,-0.22,-0.46,-0.33,-0.03,-0.2,-0.35,-0.06,-0.42,-0.1,-0.34,-0.29,-0.8,-0.36,-0.96,-0.44
Cardoso, Radolfo Tan;Fischer, Robert James;1957;0.51,0.85,0.72,0.9,0.67,0.26,-0.02,0.75,0.39,0.25,0.25,0.35,0.51,0.03,0.13,0.15,0.06,0.33,0.24,0.01,0.0,0.28,0.12,0.0,0.06,-0.12,0.12,0.17,0.1,-0.04,-0.02,0.16,-0.01,-0.07,-0.01,0.0,-0.25,-0.0,-0.04,0.13,-0.1,-0.61,-0.12,-0.08,-0.22,-0.2,-0.06,0.02,-0.02,-0.2,-0.22,-0.1,-0.69,-0.76,-0.24,0.0,-0.48,-0.19,-0.22,-0.96,-1.0,-0.71,-0.06,-0.72
Fischer, Robert James;Sherwin, James T;1957;0.39,0.15,0.39,1.0,0.32,0.76,0.85,0.79,0.2,0.15,0.06,0.01,0.39,0.06,0.2,0.18,0.0,0.28,0.1,0.0,0.16,0.17,-0.1,0.01,0.22,-0.02,0.03,0.24,0.19,0.0,-0.11,-0.1,-0.01,-0.05,-0.01,0.18,-0.13,0.0,-0.59,-0.02,-0.1,0.08,-0.04,-0.18,-0.05,-0.36,0.0,0.0,0.0,0.1,-0.01,-0.09,-0.23,-0.08,-0.2,-0.31,-0.68,-0.31,-0.25,-0.73,-0.68,-0.59,-0.99,-0.38
Darga, Klaus;Fischer, Robert James;1961;0.41,0.15,0.22,0.7,0.31,0.6,0.95,0.17,0.14,0.1,0.01,0.29,0.14,0.14,0.36,0.13,0.0,0.04,0.16,0.0,0.0,0.19,0.12,0.01,0.02,0.0,0.13,0.02,0.0,0.0,-0.08,0.0,0.0,0.0,0.02,0.0,-0.07,0.0,0.17,0.0,0.0,0.0,-0.1,-0.03,-0.15,-0.3,-0.12,-0.02,-0.14,-0.14,-0.09,-0.04,-0.05,-0.14,-0.36,-0.12,-0.7,-0.14,-0.28,-0.7,-0.4,-0.42,-1.0,-0.16
Fischer, Robert James;Santasiere, Anthony Edward;1956;0.51,0.38,0.26,0.91,0.26,0.33,0.89,0.15,0.13,0.02,0.04,0.02,0.13,0.13,0.28,0.13,0.0,0.0,0.04,0.0,0.0,0.14,0.12,0.0,0.0,0.0,0.01,-0.0,0.0,0.0,-0.08,0.0,0.0,0.02,0.0,-0.02,-0.0,0.0,0.0,0.0,0.0,-0.08,-0.12,0.0,-0.18,0.0,-0.09,0.0,-0.08,-0.05,-0.13,-0.48,-0.15,-0.13,-0.17,-0.13,-0.36,-0.17,-0.06,-0.24,-1.0,-0.15,-0.44,-0.56
Fischer, Robert James;Trifunovic, Petar;1961;0.35,0.07,0.22,0.56,0.36,0.08,0.94,0.1,-0.01,0.08,0.28,0.02,0.46,0.27,0.4,0.15,-0.04,0.23,-0.11,0.0,-0.01,0.09,0.09,0.0,0.32,-0.12,-0.15,-0.37,0.24,0.12,0.24,0.09,0.0,-0.04,0.03,-0.21,0.01,-0.2,0.1,-0.04,-0.07,0.02,-0.16,-0.02,-0.02,-0.19,0.04,0.0,-0.01,-0.03,-0.03,-0.01,-0.21,-0.05,-0.15,-0.15,-0.54,-0.05,-0.17,-0.76,-0.34,-0.24,-1.0,-0.2
Ivkov, Borislav;Fischer, Robert James;1961;0.35,0.54,0.84,0.56,0.35,0.14,0.56,0.27,0.15,0.21,0.62,0.04,0.24,0.16,0.12,0.04,0.08,0.01,0.33,-0.01,0.15,0.16,0.46,0.03,-0.01,0.01,0.01,0.0,0.01,-0.09,0.09,-0.05,-0.0,-0.14,0.0,-0.1,-0.14,0.03,-0.03,-0.01,-0.05,0.0,-0.02,-0.09,-0.24,-0.39,-0.22,-0.06,-0.15,-0.08,-0.02,-0.02,-0.44,-0.21,-0.21,-0.1,-0.36,-0.15,-0.14,-0.53,-0.73,-0.28,-0.59,-1.0
Goldhamer;Fischer, Robert James;1956;0.33,0.08,0.14,1.0,0.81,0.17,0.03,0.73,0.16,0.16,0.16,0.91,0.25,0.11,0.46,0.08,0.0,0.36,0.24,0.0,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.06,0.1,-0.07,0.03,0.08,0.0,-0.1,-0.01,0.01,-0.11,-0.01,0.07,-0.15,-0.13,-0.53,0.0,-0.17,-0.19,-0.19,0.0,0.0,-0.03,-0.06,-0.01,-0.05,-0.34,-0.09,-0.16,-0.16,-0.37,-0.21,-0.59,-0.95,-0.45,-0.68,-0.75,-0.56
